vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url,price
DutchPharmacy,Drugs and Chemicals,Ecstasy,,Ecstasy,50 x dominos xtc 220mg mdma,155.13,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-x-dominos-xtc-220mg-mdma,155.0
Pirata,Drugs and Chemicals,Ecstasy,,Ecstasy,260mg X 250 DONKEY KONG XTC PILLS,"1,250.00",United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/260mg-x-250-donkey-kong-xtc-pills,1250.0
terrysukstock,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Fluoxetine Prozac 20mg 28 tab *UK*,27.80,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/fluoxetine-prozac-20mg-28-tab-uk,28.0
MicroDroper,Drugs and Chemicals,Opiates,RC,RC,EtaZen (PURE) - 10 GRAMS,"1,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/etazen-pure-10-grams,1000.0
CoffeeshopTM,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,4g top shelf blue dream (aaa+++) from coffeeshop,57.28,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4g-top-shelf-blue-dream-aaa-from-coffeeshop,57.0
ProfessorsEmporium,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Mushroom Micro-dose Clarity EX,2.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/mushroom-micro-dose-clarity-ex,2.0
FrankMatthews,Drugs and Chemicals,Ecstasy,Pills,Pills,500x Ecstacy Pills Purple Domino 230mg,775.64,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500x-ecstacy-pills-purple-domino-230mg,776.0
TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,1000 Viagra PFZIER BRAND UK-EU 500$ FREE SHIPPING,500.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000-viagra-pfzier-brand-uk-eu-500-free-shipping,500.0
WeedHunter1312,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,! 50G - 370€ SUPER LEMON HAZE -HIGH THC-,441.52,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50g-370-super-lemon-haze-high-thc,442.0
TonysDrugsStore,Drugs and Chemicals,Stimulants,Speed,Speed,Best Amphetamine Speed Paste 125 gram,415.68,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/best-amphetamine-speed-paste-125-gram,416.0
Everylittlehalps,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,FREE NDD 14g Cookies and Cream H.Q Coffeeshop2Uk,180.73,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/free-ndd-14g-cookies-and-cream-hq-coffeeshop2uk,181.0
NextLevel,Drugs and Chemicals,Psychedelics,LSD,LSD,2x LSD Maya 300ug Worldwide Shipping,16.71,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2x-lsd-maya-300ug-worldwide-shipping,17.0
drugsukstore,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g STARDAWG CALI GRADE WEED,778.53,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/56g-stardawg-cali-grade-weed,779.0
RS7,Drugs and Chemicals,Opiates,Heroin,Heroin,**(1G)** Pure Afghan Heroin #3 (UNCUT),35.80,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-pure-afghan-heroin-3-uncut,36.0
SocialPharma1,Drugs and Chemicals,Benzos,,Benzos,Milpharm (UK PHARMA) Modafinil 200mg 30Tablets UK,41.71,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/milpharm-uk-pharma-modafinil-200mg-30tablets-uk,42.0
DrSeuss,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2g Of Afgan Haze Top Quality NDD UK2UK,25.01,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-of-afgan-haze-top-quality-ndd-uk2uk,25.0
DmtTimes,Drugs and Chemicals,Psychedelics,DMT,DMT,1 Gram Changa DMT - CHACRUNA SUNSHINE,62.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gram-changa-dmt-chacruna-sunshine,63.0
NextLevel,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,10 Gram Ketamine R- isomer 99% Shards,184.96,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gram-ketamine-r-isomer-99-shards,185.0
Opiateconnect,Drugs and Chemicals,Benzos,,Benzos,1000 B707 Clonazolam Bars,500.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000-b707-clonazolam-bars,500.0
DrRelax,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Amnesia marijuana Sativa THC 17% 3.5 gram,48.66,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/amnesia-marijuana-sativa-thc-17-35-gram,49.0
WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,4oz/112g A+ GRADE Crumble,860.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4oz112g-a-grade-crumble,860.0
DopeNL,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,10Gram Pure AAA+ Cocaine 90%+,715.98,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10gram-pure-aaa-cocaine-90,716.0
ChemistWarehouse,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,3-FLUORO-PCP - 100mg,77.52,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3-fluoro-pcp-100mg,78.0
Germanapotheke,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,50gr Trim Mix,104.00,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50gr-trim-mix,104.0
drkend,Drugs and Chemicals,Opiates,,Opiates,EtaZen (PURE) - 500 GRAMS,"3,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/etazen-pure-500-grams-1,3000.0
DrRelax,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Lavender aka Lavender Kush 7 gram,82.02,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/lavender-aka-lavender-kush-7-gram,82.0
exclusivepharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Kamagra Jelly 100 mg x 7 sachet,20.85,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/kamagra-jelly-100-mg-x-7-sachet,21.0
ubercocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,-  10 gram  - COLOMBIAN FLAKE 90% BY UBER COCAINE,"1,139.98",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gram-colombian-flake-90-by-uber-cocaine,1139.0
CocaKoala,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28g Pure Bolivian Fishscale (Grade 1),"6,085.10",Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-pure-bolivian-fishscale-grade-1,6085.0
EUROSHOPPER,Drugs and Chemicals,Ecstasy,MDMA,MDMA,5g PURE MEPHEDRONE 4-MMC,59.66,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-pure-mephedrone-4-mmc,60.0
THEPOSTMAN,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,STRAWBERRY HAZE HASH CRITICAL A GRADE 7G **FREE,91.75,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/strawberry-haze-hash-critical-a-grade-7g-free,92.0
StreetLegend,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,5 GR COLUMBIAN COCAINE FISHSCALE 91% 0.5 GR Free,300.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gr-columbian-cocaine-fishscale-91-05-gr-free-3,300.0
California420Service,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,WYLD Elderberry Gummies 2:1 THC:CBN CBN GUMMIES,50.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/wyld-elderberry-gummies-21-thccbn-cbn-gummies,50.0
icemasters,Drugs and Chemicals,Stimulants,Meth,Meth,15gr. Pure MethAmphetamine 96% pure ice shards,429.59,Netherlands,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/15gr-pure-methamphetamine-96-pure-ice-shards,430.0
bestgroup,Drugs and Chemicals,Steroids,,Steroids,MASTERON ENENTHATE 200 MG/ML 10 ML MONSTERLAB,47.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/masteron-enenthate-200-mgml-10-ml-monsterlab,47.0
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,10x Pineapple Crunch THC Vape Juice 10ml - UK,347.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-pineapple-crunch-thc-vape-juice-10ml-uk,348.0
MisterX,Drugs and Chemicals,Psychedelics,LSD,LSD,100 x LSD TABS ANONYMOUS x 250UG BLOTTERS x 1.60EU,190.93,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-x-lsd-tabs-anonymous-x-250ug-blotters-x-160eu,191.0
ChemistWarehouse,Drugs and Chemicals,Psychedelics,,Psychedelics,5-Chloro-aMT - 250mg,155.03,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-chloro-amt-250mg,155.0
Cannabuds,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7g Wedding Cake! New Vendor Special!,52.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-wedding-cake-new-vendor-special,52.0
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,125g Gorilla Glue AAA++ - UK,"1,112.18",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/125g-gorilla-glue-aaa-uk,1112.0
Lepricon,Drugs and Chemicals,,,Drugs and Chemicals,★28 Methods To Cash out All CC and Paypal Working★,4.00,,,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28-methods-to-cash-out-all-cc-and-paypal-working-1,4.0
Everylittlehalps,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,250g Blue Dream H.Q CoffeeShop2Uk,"2,501.02",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250g-blue-dream-hq-coffeeshop2uk,2501.0
PremierLeague,Drugs and Chemicals,Ecstasy,,Ecstasy,125x XTC MDMA Pills The Skull 225mg,278.05,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/125x-xtc-mdma-pills-the-skull-225mg,278.0
drkend,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,1lb OG Kush | AAA Medical | FREE NDD,"1,000.00",Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1lb-og-kush-aaa-medical-free-ndd,1000.0
drkend,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,Buy CBD Powder 99.9% Purity Online (500g ),"8,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-cbd-powder-999-purity-online-500g,8000.0
RS7,Drugs and Chemicals,Psychedelics,LSD,LSD,**(5-TABS)** Albert Hoffman LSD (200 UG),29.83,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-tabs-albert-hoffman-lsd-200-ug,30.0
hollandgottalent,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,100 GRAM MOROCCAN HASH FROM KETAMA,"1,490.43",Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-gram-moroccan-hash-from-ketama,1490.0
thatguyforbud,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"3.5g,7g,14g,28g,63g Super Silver, UK+EU CHEAP",0.07,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g7g14g28g63g-super-silver-ukeu-cheap,0.0
CoffeeshopTM,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,10g blue dream from coffeeshop + FREE GIFT,131.26,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-blue-dream-from-coffeeshop-free-gift,131.0
TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Super Combo 90 Viagra 100mg 90 Cialis 20mg210$,210.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/super-combo-90-viagra-100mg-90-cialis-20mg210,210.0
NightlifeKings,Drugs and Chemicals,Stimulants,Speed,Speed,0.5 Grams HQ Amphetamine Speed Powder,8.35,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-grams-hq-amphetamine-speed-powder,8.0
ubercocaine,Drugs and Chemicals,Ecstasy,MDMA,MDMA,(2 gram) DUTCH POPPY HIGH GRADE MDMA,41.71,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2-gram-dutch-poppy-high-grade-mdma,42.0
DutchFrenchTeam,Drugs and Chemicals,Opiates,Heroin,Heroin,25gr Heroin Pure Carbon - France To Europe !,811.44,France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25gr-heroin-pure-carbon-france-to-europe,811.0
ShinyFlakez,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1 Gr White-Widow,9.55,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-white-widow,10.0
NARCOTICSDIRECT,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,NEW PURE PERUVIAN COKE 7G ***FREE UK DELIVERY***,625.60,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/new-pure-peruvian-coke-7g-free-uk-delivery,626.0
RealNarcotiks3,Drugs and Chemicals,Ecstasy,MDMA,MDMA,10 PURE MDMA PILLS 15 MG,24.95,,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-pure-mdma-pills-15-mg,25.0
ChuckNorrisTeam,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,100G Yuummy Shake Good Quality,236.34,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100g-yuummy-shake-good-quality,236.0
SMACKERS,Drugs and Chemicals,Benzos,Pills,Pills,XANAX BARS! 25x S903 XANAX 3mg HULKS REAL ALP,75.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-bars-25x-s903-xanax-3mg-hulks-real-alp,75.0
drkend,Drugs and Chemicals,Stimulants,,Stimulants,ETIZOLAM (PURE) - 28 grams,"4,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/etizolam-pure-28-grams,4000.0
GrowersOasis,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Hybrid Penis Envy/GCT    28g Oz,120.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/hybrid-penis-envygct-28g-oz,120.0
NextLevel,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,10 Gram S-Isomer Ketamine 99% Purity - Worldwide!,184.96,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gram-s-isomer-ketamine-99-purity-worldwide,185.0
amsterdamxpress,Drugs and Chemicals,,,Drugs and Chemicals,500 GRAM* Speed Amphetamine paste 76% -AmsterdamXp,417.65,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-gram-speed-amphetamine-paste-76-amsterdamxp,418.0
PharmaWorldUK,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Sandoz Oxycodone 80mg Oxy Oxycontin Box of 28,827.18,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sandoz-oxycodone-80mg-oxy-oxycontin-box-of-28,827.0
COCALERO,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2g PERUVIAN COCAINE UNCUT,150.36,Germany,"Austria, Belgium, Czech Republic, Germany, France, Croatia, Poland",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-peruvian-cocaine-uncut,150.0
QUICKDRUGSUK,Drugs and Chemicals,,,Drugs and Chemicals,3.5G SOCIABLE COCAINE HIGH PURITY,187.68,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-sociable-cocaine-high-purity,188.0
TheOxyMen,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Magic Mushrooms Psilocybe Cubensis Very POTENT,13.90,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/magic-mushrooms-psilocybe-cubensis-very-potent,14.0
DopeMastersNL,Drugs and Chemicals,Opiates,RC,RC,4-CMC ! Pure Shards !! GREAT STUFF! 18EU/gr*****,21.48,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4-cmc-pure-shards-great-stuff-18eugr,21.0
LordOfWeed,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,10g StarBud 20%THC 10% Free 55€,65.63,Greece,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-starbud-20thc-10-free-55-1,66.0
FedEx,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,••(20G)•• Pure Colombian Cocaine (93%),"1,431.96",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/20g-pure-colombian-cocaine-93,1431.0
FedEx,Drugs and Chemicals,Stimulants,Crack,Crack,••(5G)•• Pure Colombian Crack |AAA+|,357.99,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-pure-colombian-crack-aaa,358.0
ukcartel1,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5 grams High Quality Lemon Haze ✅,41.71,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35-grams-high-quality-lemon-haze,42.0
Coffeshop,Drugs and Chemicals,Stimulants,Speed,Speed,SPEED AMPHETAMINE PASTE 74%  / 250 GRAMS / AAA+ HQ,226.73,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/speed-amphetamine-paste-74-250-grams-aaa-hq,227.0
DrugAmazon,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,2g BlueBerry Bubble Hash 32% THC (Free Shipping),42.96,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-blueberry-bubble-hash-32-thc-free-shipping,43.0
JanesAddiction,Drugs and Chemicals,Ecstasy,MDMA,MDMA,3.5g MDMA - *Dutch Moonrock,135.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-mdma-dutch-moonrock-1,135.0
GrowersOasis,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,All Strain Sample! 3gs   Free Shipping!!,25.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/all-strain-sample-3gs-free-shipping,25.0
inc,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,COCAINE 0.5G - A GRADE PURE ADIDAS STAMP - INC.,178.29,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/cocaine-05g-a-grade-pure-adidas-stamp-inc,178.0
Robkam123,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Pink Bubba   28 Grams,175.00,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pink-bubba-28-grams,175.0
Northgrower,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,1x The Stardough  Canna Butter,97.32,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1x-the-stardough-canna-butter,97.0
ScotchAndCoca,Drugs and Chemicals,Psychedelics,2C-B,2C-B,10 gram pure 2C-B powder,583.52,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gram-pure-2c-b-powder,584.0
ONEMILLION,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2.5 GR  - Pure Colombian Cocaine [AAA+],238.66,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-gr-pure-colombian-cocaine-aaa,239.0
drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy Gamma Oryzanol Powder Online (1 kg),"10,000.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-gamma-oryzanol-powder-online-1-kg,10000.0
uk1day,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,CHEAPEST ON MARKET 0.5G coke 90% COLOMBIAN COCAINE,69.48,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/cheapest-on-market-05g-coke-90-colombian-cocaine,69.0
AmsterdamNL,Drugs and Chemicals,Psychedelics,2C-B,2C-B,🇩🇪 100x ★★ 2CB GOLDEN OREO 30MG 2CB ★★HARD PRESS,190.93,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100x-2cb-golden-oreo-30mg-2cb-hard-press,191.0
ThreeKings,Drugs and Chemicals,Steroids,,Steroids,Anavar Oxandrolone 10mg/100tbs - Vermodje,35.80,Latvia,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/anavar-oxandrolone-10mg100tbs-vermodje,36.0
PostNL,Drugs and Chemicals,Opiates,Heroin,Heroin,1 gram High Quality Uncut Pure Afghan Heroin #3,32.82,Netherlands,Netherlands,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gram-high-quality-uncut-pure-afghan-heroin-3,33.0
DaShop,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2G COCAINE A1 BATCH,125.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-cocaine-a1-batch,125.0
