vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
monoko,Drugs and Chemicals,Benzos,,Benzos,HALF PRICE Xanax 2mg x 1000 Bars Alprazolam,508.09,United Kingdom,Europe
auspride,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Pfizer Lyrica 300mg 56 caps Pregabalin,258.20,Australia,Australia
BcBudGod,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,AAA Pot Of Gold 224Grams (8oz),545.00,Canada,"Canada, United States"
Thegreens,Drugs and Chemicals,,,Drugs and Chemicals,High Quality Crystal METH  ICE 97% pure 15g,697.63,Australia,Worldwide
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Nolvadex - 60 tb/10 mg - Balkan - expires 09/2022,31.49,Netherlands,Worldwide
DrugzDealerNRW,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1g Kokain 99%  mit Alkohol und Azeton gewaschen,90.82,Germany,Germany
QUICKDRUGSUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7G STARDAWG CALI WEED,105.86,United Kingdom,Worldwide
auspride,Drugs and Chemicals,,,Drugs and Chemicals,10000 Blotters of 275mcg Premium Dutch Import LSD,882.52,Australia,Australia
OPENLINE,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,OPENLINE HIGH PURITY Ketamine Needles (14 Gram),268.17,United Kingdom,United Kingdom
drkend,Drugs and Chemicals,Benzos,,Benzos,Buy Bromazolam Online (1 KG),500.00,China,Worldwide
Hasbro,Drugs and Chemicals,Stimulants,Meth,Meth,100GR - CRYSTAL METH ICE - SHARDS - HIGH QUALTY,664.13,Germany,Europe
California420Service,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,Smokiez Sour Watermelon Fruit Chews - CA,50.00,United States,Worldwide
saintpablooooo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,##BUDGET WEED## 56g Hydro no pgr,369.96,Australia,Australia
AddamsFamily,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,(PROMO) 6Gr Hunter's Special Premium (THC +20%),91.61,France,France
exclusivepharma,Drugs and Chemicals,Benzos,Pills,Pills,Genuine Galenika Bensedin Diazepam Valium 120 tabs,127.03,United Kingdom,Worldwide
cheshirecat82,Drugs and Chemicals,Psychedelics,LSD,LSD,"1,000 hits at 110ug of 99.8% pure LSD",000.00,United States,United States
TheodorMorell,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,10GR HighQuality Colombian cocaine flakes 90%,605.48,Netherlands,Worldwide
drugsincuk,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,DA BOMB PREMIUM LONDON POUND CAKE 3.5 grams,64.92,United Kingdom,United Kingdom
premierpharma,Drugs and Chemicals,Benzos,,Benzos,roche diazepam 10mg x 50 tablets,64.92,United Kingdom,United Kingdom
TheBestOfHolland,Drugs and Chemicals,Dissociatives,GHB,GHB,500ml | BASF® GHB | 712mg/ml,180.00,,Worldwide
PenileFractures,Drugs and Chemicals,Benzos,Pills,Pills,250 S903 Xanax Pills 3mg,185.06,Canada,Canada
stealthmedsuk,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,zomorph 10mg x 20 capsules.,55.05,United Kingdom,United Kingdom
MisterX,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,100GR x KETAMINE S-ISOMER NEEDLE TYPE xHIGHQUALITY,453.16,Germany,Europe
lekkercocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,COLUMBIAN COCAINE 630 EURO* 10G +88% TRUSTED,762.91,Germany,Worldwide
ActiveJ,Drugs and Chemicals,,,Drugs and Chemicals,★ 0.2G ECO-FLAKE COKE ★ | FREE UK-UK NDD,14.11,United Kingdom,United Kingdom
gratefullydead,Drugs and Chemicals,Psychedelics,LSD,LSD,99% Pure Swiss Crystal Crystal LSD-25 X1000,500.00,United States,Europe
dutchsuperior,Drugs and Chemicals,Stimulants,,Stimulants,BROMAZEPAM 6MG 30 TABS,48.44,Netherlands,Europe
PianoKeyz,Drugs and Chemicals,Ecstasy,,Ecstasy,Eutylone (Synthetic MDMA) 50g,550.00,United States,United States
TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Prosoma Soma 500 mg US-US 90 pills 295$ Tracking,295.00,United States,United States
COUNTYLINE,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,100GR // S-KETAMINE ISOMER SUGAR // CLEAN KETA,764.26,United Kingdom,United Kingdom
hollandgottalent,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,1 KG MOROCCAN HASH FROM KETAMA,530.40,Germany,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,125g Pink Lemonade HQ NDD UK2UK,270.27,United Kingdom,United Kingdom
rainbowland,Drugs and Chemicals,,,Drugs and Chemicals,10000 XTC PILLS,293.22,Netherlands,Worldwide
Coffeshop,Drugs and Chemicals,Stimulants,Speed,Speed,3KG speed  10 gram coke and 5 mdma,027.42,Germany,Worldwide
inc,Drugs and Chemicals,Stimulants,Speed,Speed,BASE 28G - NETHERLANDS C-STAMP GREY/BROWN - INC.,464.43,Australia,Australia
saintpablooooo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,##BLUE CHEESE STRAIN## 14g,127.17,Australia,Australia
C00KIE88,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,**NEW** 3.5g GIRL SCOUT COOKIE **UK-UK**,38.11,United Kingdom,United Kingdom
GoodFellaz,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2g 89% Pure Premium Cocaine Coke Quality AAA,225.83,United Kingdom,United Kingdom
drkend,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,Buy Blue Kinght online  (1 lb ),500.00,Canada,Worldwide
underlinecost,Drugs and Chemicals,Psychedelics,LSD,LSD,500 x 200ug White Fluff - LSD,391.31,Australia,Australia
PenileFractures,Drugs and Chemicals,Accessories,,Accessories,Custom Listing,0.82,Canada,Canada
theworldisyours6,Drugs and Chemicals,Opiates,,Opiates,2x Liquid Methadone 35ml,95.67,,Worldwide
kandykones,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SPECIAL OFFER - 7g Canada import blue dream,70.57,United Kingdom,United Kingdom
reflexlabs,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,90 x Ritalin Methylphenidate 10 mg sandoz mylan,151.37,Belgium,Europe
GoodFellaz,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,7g 89% Pure Premium Cocaine Coke Quality AAA,635.13,United Kingdom,United Kingdom
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,500g Morrocan Soft Crumble Hashish AAA++ - UK Vend,117.12,United Kingdom,United Kingdom
loveloyalty,Drugs and Chemicals,Ecstasy,,Ecstasy,100 XTC  220 MG HQ,157.43,Germany,Europe
SocialPharma1,Drugs and Chemicals,Benzos,,Benzos,KERN XANAX 2MG 50tabs,70.57,United Kingdom,Europe
GreyGooseGlobal,Drugs and Chemicals,Ecstasy,MDMA,MDMA,1KG II MDMA CHAMPAGNE CRYSTALS,570.45,Germany,Europe
MyNarcotics,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,🇨🇭 0.1GR COLOMBIAN (FLAKES)COCAINE 🇨🇭,18.16,Switzerland,Worldwide
DopeMastersNL,Drugs and Chemicals,,,Drugs and Chemicals,Top Grade Dutch Pills 220 MG 10 Pellets,84.77,Switzerland,Worldwide
drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy 2FDCK Online (500g),000.00,China,Worldwide
hollandgottalent,Drugs and Chemicals,Stimulants,Speed,Speed,100 GRAM SPEED AMPHETAMINE PASTE 76%,133.21,Germany,Worldwide
mdacanada,Drugs and Chemicals,Stimulants,Meth,Meth,500g crystal meth 100% pure Xpress Post Free,757.30,Canada,Canada
MadeInFrance,Drugs and Chemicals,Opiates,,Opiates,10g Kratom Maeng Da Red X Secret variety HQ,16.95,France,Worldwide
MisterX,Drugs and Chemicals,Stimulants,Meth,Meth,2GR x CRYSTAL METH ICE x HIGH QUALITY x 25EU P/G,60.55,Germany,Europe
SuperLab,Drugs and Chemicals,Stimulants,Meth,Meth,Uncut Lab Ephedrine Meth 1 Gram,64.00,United States,United States
EmpireTeam,Drugs and Chemicals,,,Drugs and Chemicals,11:11 Batch Pure Colombian Cocaine Uncut 2 Grams,190.00,United States,United States
PremierLeague,Drugs and Chemicals,Ecstasy,MDMA,MDMA,5g mdma crystal,49.40,United Kingdom,United Kingdom
radarbreeder,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,LEMON AMNESIA A++ 3.5g,52.22,United Kingdom,Europe
PremierLeague,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56 grams  JAMAICAN HIGH GRADE no seeds,167.96,United Kingdom,United Kingdom
MadeInFrance,Drugs and Chemicals,Benzos,Pills,Pills,Flormidal (Dormicum) 30 x 15 mg,145.32,France,Worldwide
kdw247,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★★★100gBEST AMNESIA HAZE 26%THC Premium Quality★★★,968.77,Germany,Germany
bigdickvibes1,Drugs and Chemicals,Benzos,,Benzos,TRAMADOL  CITRA 50MG 40PILLS 4 BLISTER PACK,72.00,,United States
cannadepot,Drugs and Chemicals,,,Drugs and Chemicals,Mr. Whiskers 1 Full Gram Sativa - Alaskan Thurder,65.00,,United States
kandykones,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,5g Cali Import Amnesia Haze Shake/Dust - UK ONLY,35.29,United Kingdom,United Kingdom
Aphex,Drugs and Chemicals,Benzos,Pills,Pills,x2500 2MG Alprazolam Bars G3722,472.00,United States,Worldwide
WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,8oz/224g Moon Rock Cannabis Strain,080.00,United States,United States
tomandjerry,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2 grams High Quality Cocaine [90%],145.00,Netherlands,Worldwide
NarcoticsWorldwide,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,50 GRAMS || PERUVIAN COCAINE || 90% UNCUT,664.13,Germany,Worldwide
dankservices,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,28 Grams of Shatter,674.99,United States,Worldwide
mysteryland,Drugs and Chemicals,Stimulants,Speed,Speed,3 KG*** Amphetamine Paste*** Speed Paste 72%,800.00,Germany,Worldwide
StrainPirate,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2g Diamond Crumble (StrainPirate),38.00,United States,United States
HighQualityDrugs,Drugs and Chemicals,,,Drugs and Chemicals,50x Pills XTC 180mg,170.75,Poland,Worldwide
UKMeds4all,Drugs and Chemicals,,,Drugs and Chemicals,25x 2mg Xanax Bars,40.00,United Kingdom,Worldwide
mdacanada,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,112g  Cocaine HH 90% logo ARRE xpress post Free,099.33,,Canada
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,10g Of Cannabis Dust AMNESIA HAZE  - FREE NDD UK,105.86,United Kingdom,United Kingdom
bionik,Drugs and Chemicals,Benzos,,Benzos,Xanax S903 4 mg x 100 pills x 150$ NEW STOCK!!!,150.00,United States,United States
theillusiveman,Drugs and Chemicals,Stimulants,Adderal,Adderal,FE 15x adderall 30mg press top quality amphetamine,90.00,United States,United States
TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,PREGABALIN lyrica 300 mg 60 tabs (UK to UK),65.00,United Kingdom,United Kingdom
theworldisyours6,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,50g Pure Bolivian Cocaine! Best on Darknet!,910.00,Spain,Worldwide
ScotchAndCoca,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,10 gram Ketamine needles (84%),192.54,Netherlands,Worldwide
PenileFractures,Drugs and Chemicals,Ecstasy,MDMA,MDMA,7g Canadian MDA,126.66,Canada,Canada
TopShellNL,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2.5g Amnesia Haze 22% THC (FREE WW SHIP),42.38,Netherlands,Worldwide
snowwhite38,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,100g NEWW ★|| Critical Kush A++||★,847.68,Germany,Germany
ROCKO,Drugs and Chemicals,Accessories,,Accessories,How To Get Free Lenovo Laptops (No Carding) 2021,3.99,,
MadeInFrance,Drugs and Chemicals,Benzos,Pills,Pills,Flormidal (Dormicum) 30 x 15 mg,145.32,France,Worldwide
Island_Paradise,Drugs and Chemicals,Ecstasy,MDMA,MDMA,[250 GRAMS] ★ MDMA CHAMPAGNE ROCKS HIGH QUALITY ★,210.97,Germany,Worldwide
EUROSHOPPER,Drugs and Chemicals,Ecstasy,MDMA,MDMA,500g PURE MEPHEDRONE 4-MMC,027.42,Germany,Europe
Germanapotheke,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,20gr Money Maker AAA+++,240.98,Germany,Europe
COUNTYLINE,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,100GR // S-KETAMINE ISOMER SUGAR // CLEAN KETA,764.26,United Kingdom,United Kingdom
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7g Of  Northern Lights PREMUIM FREE NDDuk,119.97,United Kingdom,United Kingdom
mollymob,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,250 grams of S-Isomer Ketamine - High quality Rock,632.90,Netherlands,Worldwide
NotCal2020,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,PURPLE CRACK HI GRADE INDOOR FLOWER 4 OZ,800.00,United States,United States
maurelius,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,56g Nicole Kush Hash 588 £,829.91,United Kingdom,Europe
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g - Star Killer HQ NDD UK2UK,42.34,United Kingdom,United Kingdom
Lucky7,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,"0,5 Gr Very Pure HQ Colombian Cocaine 90%",38.75,Netherlands,Worldwide
NextLevel,Drugs and Chemicals,Ecstasy,,Ecstasy,NEW! 25x La Casa de Papel XTC Pills 280mg +Freebie,90.82,Netherlands,Worldwide
inc,Drugs and Chemicals,Stimulants,Speed,Speed,BASE 224G - NETHERLANDS C-STAMP GREY/BROWN - INC.,328.08,Australia,Australia
DabAllDay710,Drugs and Chemicals,Psychedelics,LSD,LSD,100x owsley lsd 160-180ug,150.00,United States,United States
maurelius,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,"3g COCAINE, 93% PURITY 360 £",508.11,United Kingdom,Europe
SteroidWarehouse,Drugs and Chemicals,Weight Loss,,Weight Loss,Sibutramine - 50 tb/20 mg - PHD – exp. 06/2023,72.66,Netherlands,Worldwide
Pharmacist,Drugs and Chemicals,,,Drugs and Chemicals,Cialis / Vidalista 20mg x 90 pills. Free shipping.,89.00,United States,United States
auspride,Drugs and Chemicals,,,Drugs and Chemicals,Zydol IR Tramadol Instant Release 50mg,137.96,Australia,Australia
tescoexpress,Drugs and Chemicals,Psychedelics,LSD,LSD,5 BUDDHA LSD TABS 250UG,31.05,United Kingdom,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2g Lemon Diesel HQ NDD UK2UK,39.52,United Kingdom,United Kingdom
NARCOTICSDIRECT,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,3.5G/PURE INDIAN S-ISOMER KET SHARDS FREE DELIVERY,84.68,United Kingdom,Worldwide
MadeInFrance,Drugs and Chemicals,Stimulants,,Stimulants,Cenforce (Sildenafil) 30 x 200 mg,87.19,France,Worldwide
MadeInFrance,Drugs and Chemicals,Stimulants,,Stimulants,Kamagra Oral Jelly 100 mg x 28,135.63,France,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,100g Soft Honey Crumble Hashish AAA++ - UK Vendor,748.05,United Kingdom,United Kingdom
Tebow,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,10x30mg Oxycodone  (REAL DEAL NO PRESS OR FENT),350.00,United States,United States
pillplugpaul,Drugs and Chemicals,Opiates,,Opiates,100x Pressed Oxycodone m30  (Good Press),850.00,United States,North America
fastmeds,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Vidalista 40 mg 50 tabs (TADALAFIL - Cialis),28.00,India,Worldwide
