vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
CocaColaCompany,Drugs and Chemicals,Stimulants,Speed,Speed,SPEED AMPHETAMINE PASTE 74% / 100 GRAMS / AAA+ HQ,77.12,Germany,Worldwide
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g Of Cannabis Dust LEMON TREE - FREE NDD UK,34.72,United Kingdom,United Kingdom
thelab1,Drugs and Chemicals,Stimulants,,Stimulants,FAB-144 - 5g,240.00,China,Worldwide
tig3r,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g Durban Poison(UK-UK) NDD tracked,619.47,United Kingdom,United Kingdom
AmazonPrimePlus,Drugs and Chemicals,,,Drugs and Chemicals,90 bars 2mg Farmapram barXanax $375 Sealed bottle,375.00,United States,United States
mollymob,Drugs and Chemicals,Ecstasy,Pills,Pills,1000 pieces of XTC Pills - Givenchy 260mg MDMA,423.72,Netherlands,Worldwide
DrugzFromNL,Drugs and Chemicals,Ecstasy,MDMA,MDMA,25gr High Quality Dutch AAA+ MDMA +90%,300.00,Netherlands,Worldwide
Coffeshop,Drugs and Chemicals,Stimulants,Meth,Meth,*** 1 GRAM *** CRYSTAL METH SHARDS ORIGINAL 99% EF,29.66,Germany,Worldwide
JessyBakery,Drugs and Chemicals,Opiates,Heroin,Heroin,* 20GR Afghan Heroin 91% * FREE SHIPPING WORLDWIDE,581.35,Netherlands,Worldwide
xtpharma,Drugs and Chemicals,Steroids,,Steroids,Testosterone emanate 10 ml,47.00,United States,United States
MEDS4UK,Drugs and Chemicals,Benzos,,Benzos,Bensedin Diazepam 10mg x 1 box (30tabs),27.78,United Kingdom,Europe
TopShellNL,Drugs and Chemicals,Psychedelics,2C-B,2C-B,25g Pure 2C-B HCL powder (FREE WW SHIP),423.72,Netherlands,Worldwide
leavehonest07,Drugs and Chemicals,Psychedelics,LSD,LSD,LSD tabs Swiss Needle Point (50) Tabs!,175.00,United States,United States
BritishStandard,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,6000x m30 oxycodone mallinckrodt pharma JULY SALE,000.43,United Kingdom,Worldwide
pharmatec,Drugs and Chemicals,Benzos,Pills,Pills,Activas Valium 10MG (Blisters) - 42 Tabs - 45 GBP,62.50,United Kingdom,Worldwide
ROCKO,Drugs and Chemicals,Accessories,,Accessories,How To Get Free Lenovo Laptops (No Carding) 2021,3.99,,
vanillasurf,Drugs and Chemicals,Ecstasy,,Ecstasy,🇬🇧 🇮🇪XTC-PILLS🇮🇪 🇬🇧 - MeeToo's - X100 £170,236.12,United Kingdom,Europe
PenileFractures,Drugs and Chemicals,Stimulants,Speed,Speed,100 ICE Speed Pills 40mg,88.29,Canada,Canada
MadeInFrance,Drugs and Chemicals,Benzos,,Benzos,Acupan (Néfopam) 5 x 2 ml,29.66,France,Worldwide
Chemicalexpress,Drugs and Chemicals,,,Drugs and Chemicals,10x Hoffman LSD - 260UG LSD BLOTTERS,41.53,Netherlands,Worldwide
Pygmalion,Drugs and Chemicals,Psychedelics,DMT,DMT,5g Changa Mild 30% DMT,172.03,Germany,Worldwide
TheodorMorell,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,0.5GR HighQuality S Isomer Ketamine Shards Needles,11.86,Netherlands,Worldwide
tig3r,Drugs and Chemicals,,,Drugs and Chemicals,7 g White Widow (UK-UK) non-tracked,87.50,United Kingdom,United Kingdom
C00KIE88,Drugs and Chemicals,Psychedelics,DMT,DMT,2g Changa / Xanga 50% DMT **UK-UK**,90.28,United Kingdom,United Kingdom
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g - MK Ultra HQ NDD UK2UK,465.30,United Kingdom,United Kingdom
dmtcarts,Drugs and Chemicals,Psychedelics,DMT,DMT,0.5g DMT Puff Bars | Ready to Puff DMT Vape Pens,55.00,United States,United States
MedicalCenter,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Sunset Sherbet High Quality A+++ 20 G,249.15,Germany,Europe
AABiogenPharma,Drugs and Chemicals,Steroids,,Steroids,Stanozolol Winstrol 10mg 100 tablets steroid,27.78,United Kingdom,United Kingdom
magicflow,Drugs and Chemicals,Stimulants,Meth,Meth,2 GR   CRYSTAL METH  SHARDS ! PROMOTION DISCOUNT !,87.80,,Europe
karmaceuticals,Drugs and Chemicals,Benzos,Pills,Pills,Activas Valium Bisters - 28 Pills - 30 GBP,41.67,United Kingdom,Worldwide
California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,STIIZY HARDCORE OG 500MG PREMIUM THC PODS INDICA,80.00,United States,United States
GlobalShipment,Drugs and Chemicals,Psychedelics,LSD,LSD,55x 200ug - LSD Tabs - ** White Crystals **,91.36,Germany,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,2x Bubblegum Haze THC Vape Juice 10ml - UK,76.39,United Kingdom,Worldwide
Apidae,Drugs and Chemicals,Psychedelics,DMT,DMT,2g (2000mg) NN DMT,176.54,Australia,Australia
qualityUK,Drugs and Chemicals,Psychedelics,LSD,LSD,50x 110ug Mickey LSD Tabs,138.89,United Kingdom,United Kingdom
DiscountWeedCo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,FIRESALE!!! 1 OUNCE BLUE CHEESE BUD!,65.99,United States,United States
localpharm,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,US to US 100 pills x Soma350mg Carisoprodol - 177$,177.00,United States,United States
DrRelax,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Lavender aka Lavender Kush 7 gram,76.39,United Kingdom,United Kingdom
greenhorse,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,CALI LEMON MINT 3.5G,90.28,United Kingdom,United Kingdom
trina,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,$12 Cali Plug Carts (1 gram) (min 10),12.00,United States,United States
kdw247,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★★★10g JUICY MANGO KUSH 23% THC ++HQ++★★★,106.78,Germany,Europe
FrankCostello,Drugs and Chemicals,,,Drugs and Chemicals,DILAUDID 10x 8mg (Hydromorphone) XPRESS WW,68.23,Canada,Canada
your_service,Drugs and Chemicals,Stimulants,Speed,Speed,1g -1000g Kitchenspeed PASTE (78%) ++ (PROMOPHASE),4.79,Germany,Worldwide
WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,HP/225g platinum kush AAA+ INDOOR WEED,920.00,United States,United States
MasterMeds,Drugs and Chemicals,Opiates,,Opiates,ETONITAZEPIPNE  HCL 25 grams,650.00,China,Worldwide
simponis,Drugs and Chemicals,Stimulants,Adderal,Adderal,Adderall AD30 Prescription Grade *D4D* Promo x1000,800.00,United States,North America
DrugzFromNL,Drugs and Chemicals,Opiates,Heroin,Heroin,3gr GOOD Quality Heroin #3  60-70%,57.00,Netherlands,Worldwide
FrankMatthews,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA Champagne Rocks -10gr-,59.32,Germany,Europe
Drugsbuddies,Drugs and Chemicals,Stimulants,Meth,Meth,20 GRAM crystal meth HQ,563.55,Germany,Worldwide
tig3r,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g Gelato (UK-UK) non-tracked,369.46,United Kingdom,United Kingdom
packflipper,Drugs and Chemicals,Benzos,Pills,Pills,(50) S 90 3 Green HULK Xanax Pharmacy Made Pills,240.00,United States,United States
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14g Of Bubba Kush PREMIUM FREE NDD UK,222.23,United Kingdom,United Kingdom
fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7g gelato #33,104.17,United Kingdom,Worldwide
ActiveJ,Drugs and Chemicals,,,Drugs and Chemicals,★ 0.5G UNCUT ROLEX STAMP COLOMBIAN COKE ★,62.50,United Kingdom,United Kingdom
saintpablooooo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,GREEN CRACK 14G,126.68,Australia,Australia
stealthmedsuk,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,fluoxetine 20mg x 30 capsules.,27.78,United Kingdom,United Kingdom
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,Cookies-n-Cream - 100ml THC Vape Juice UK,486.13,United Kingdom,Worldwide
MrTea420,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★20g Green Gelato (25% THC)★,219.49,Germany,Europe
DutchGlory,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1 Gr Crystal Ketamine  S + 89%] - Free WW-Shipping,29.66,Netherlands,Worldwide
drugsukstore,Drugs and Chemicals,,,Drugs and Chemicals,7g HIGH PURITY SOCIABLE COCAINE,375.02,United Kingdom,Worldwide
weedat,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1g Amnesia Haze,18.98,Germany,Germany
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,1x Vanilla Ice THC Vape Juice 10ml - UK Vendor,55.56,United Kingdom,Worldwide
DutchGlory,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,5  Gr Crystal Ketamine  S + 89%]Free WW-Shipping,118.64,Netherlands,Worldwide
WeedHunter1312,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,! 5G - 50€ AMNESIA HAZE -HIGH THC-,59.32,Germany,Europe
DrugzDealerNRW,Drugs and Chemicals,Stimulants,Crack,Crack,2g Crack Cocaine 93% (Hergestellt mit Ammoniak),166.10,Germany,Germany
amsterdamxpress,Drugs and Chemicals,,,Drugs and Chemicals,Ketamine S- Isomer Indian *10 Gram*,195.76,Germany,Worldwide
reddingtonn,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,50G OF Ketamine (S),711.86,Netherlands,Worldwide
kenza,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Amoxil 1g/tablet Dissolvable amoxicillin x 18,41.67,United Kingdom,Worldwide
MadeInFrance,Drugs and Chemicals,Benzos,Pills,Pills,Mirtazapine (Norset) 120 x 15 mg,170.85,France,Worldwide
frenchpills,Drugs and Chemicals,,,Drugs and Chemicals,Tramadol 50mg 30 pills,40.00,France,Europe
Germanapotheke,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1gr Money Maker AAA+++,11.86,Germany,Europe
SocialPharma1,Drugs and Chemicals,Benzos,,Benzos,ZOPICLONE TABLETS ZOPISIGN 10mg 14tablets,16.67,United Kingdom,Europe
TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,TAPENTADOL Nucynta 100mg 100 tabs 0.65$ for pill,65.00,India,Worldwide
ukcartel1,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7 grams High Quality CHERRY SKITTLES UK2UK ✅,83.34,United Kingdom,United Kingdom
THEPOSTMAN,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,50g COMMERCIAL POLLEN * CLEAN HASH (FREE UK SHIPPI,305.57,United Kingdom,Europe
jimmjoness,Drugs and Chemicals,Stimulants,Meth,Meth,0.5 Gr Crystal-Meth,14.24,,Worldwide
ukgroup,Drugs and Chemicals,,,Drugs and Chemicals,7g 90% COLOMBIAN UNCUT COCAINE,701.42,United Kingdom,Worldwide
reflexlabs,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,30 x Ritalin Methylphenidate 10 mg sandoz mylan,59.32,Belgium,Europe
California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,Raw Garden Tropical Sunset Live Resin 0.5g Cart,90.00,United States,United States
OrganicValley,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,28 Gram Organic Hawaiian Magic Mushrooms (Whole),198.00,United Kingdom,Worldwide
EUROSHOPPER,Drugs and Chemicals,Psychedelics,2C-B,2C-B,100x 2C-B - RED NASA ROCKET 26MG,237.29,Germany,Europe
El-Chapo,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,12g - EL-CHAPO'S SOCIAL COCAINE - FREE DELIVERY,916.69,United Kingdom,United Kingdom
Trapgod,Drugs and Chemicals,Psychedelics,DMT,DMT,0.1g DMT very high QUALITY - 60% purity,16.61,Germany,Worldwide
localpharm,Drugs and Chemicals,Benzos,Pills,Pills,US to US 50 pills x Generic Ambien 10mg Zolpidem,129.00,United States,United States
LittleBits,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Albino A+ 5 grams (powdered),48.61,United Kingdom,United Kingdom
WhiteRepublic,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1g Cocaine AAA+++,119.99,United States,United States
ONEMILLION,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1 GR  - Pure Colombian Cocaine [AAA+],100.85,Germany,Europe
TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,1000 pills Viagra 100mg Sildenafil $190 BUY NOW,190.00,India,
gbmessicocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,- 1 gram -STRONG SOCIABLE COCAINE COMES AS ROCK,62.50,United Kingdom,Worldwide
localpharm,Drugs and Chemicals,Benzos,Pills,Pills,US to US 100 pills x Zopiclone 7.5mg ZOP - 197$,197.00,United States,United States
SunshineShop,Drugs and Chemicals,Psychedelics,LSD,LSD,0.5g Raw Needlepoint LSD-25 Crystal,228.76,Germany,Worldwide
RoyalMailer,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1g Columbian Fishscale 90% Cocaine AAA++ - UK,166.67,United Kingdom,United Kingdom
TheOnlyPlugYouNeed,Drugs and Chemicals,Benzos,,Benzos,"Xanax 50 pc (2MG white, 4MG green)",84.28,Canada,Canada
TheBodyShop,Drugs and Chemicals,Benzos,,Benzos,+EUROPE RETAIL+ ZOLPIDEM 10mg 50 tabs,73.00,Netherlands,Worldwide
auspride,Drugs and Chemicals,Opiates,Heroin,Heroin,Heroin White Powder Turkish Import (14 grams),885.72,Australia,Australia
Hofmanncrew,Drugs and Chemicals,Psychedelics,LSD,LSD,[PROMO] EU-WW 100x 200ug THE HOLY FAMILY,154.22,Netherlands,Worldwide
DNAbiotech,Drugs and Chemicals,Steroids,,Steroids,Tri Tren 200mg 10ml - PHARMAQO,62.50,United Kingdom,"Europe, United States"
reflexlabs,Drugs and Chemicals,Stimulants,Adderal,Adderal,30x pills Dexamfetamine Dexamphetamine 5mg,71.19,Belgium,Europe
cocokingz,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,1gr HASH GARDELLA 1st HAND - FREE SHIP PROMO,13.05,Netherlands,Worldwide
AmsterdamNL,Drugs and Chemicals,Ecstasy,Pills,Pills,🇩🇪 100x ★★ XTC BLUE PUNISHER 300MG MDMA ★★,172.03,Germany,Europe
dankservices,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,Half Gram of Crumble,12.49,United States,Worldwide
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,50ml Caramel Coffee THC VAPE JUICE - FREE NDD UK,225.01,United Kingdom,United Kingdom
cerberusuk,Drugs and Chemicals,,,Drugs and Chemicals,Oxymetholone Iranian Anapalon 50mg x 100,65.00,United Kingdom,Worldwide
Medicineman1,Drugs and Chemicals,Opiates,RC,RC,Phenergan Night Time (Promethazine) 25mg x14,31.95,United Kingdom,Worldwide
TheRxPharma,Drugs and Chemicals,,,Drugs and Chemicals,170 tabs + 10 pills free tapentadol 100 mg us-us,490.00,United States,United States
mythbusters,Drugs and Chemicals,Opiates,Heroin,Heroin,10g - Afghan Heroin (uncut) 80%,325.08,Netherlands,Worldwide
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,500x Glue Trap Cali 5000mg XTREME 5ML VAPE LIQUID,333.69,United Kingdom,Worldwide
WeedPhantom,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,25g *TOP* Amnesia Haze A+++,249.15,Germany,Europe
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1g Pink Lemonade HQ NDD UK2UK,20.83,United Kingdom,United Kingdom
drugshub,Drugs and Chemicals,Stimulants,Speed,Speed,10 Gram Highest quality DUTCH Speed paste,29.65,Netherlands,Worldwide
dankman,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g JAMAICAN BLOCK WEED £75 ((NICE MELLOW HIGH )),104.17,United Kingdom,Worldwide
upsworldwide,Drugs and Chemicals,Cannabis & Hash,Synthetic,Synthetic,Gelato 25 THC vape juice,61.11,United Kingdom,Worldwide
positivevibes420,Drugs and Chemicals,Ecstasy,MDMA,MDMA,10X 100 MG MDMA CAPSULES READY TO ROLL!,75.00,United States,United States
BelgiumMaster,Drugs and Chemicals,Ecstasy,Pills,Pills,25 x XTC MDMA PURPLE TRUMPHEAD PILLS (250 mg),53.39,Belgium,Worldwide
COUNTYLINE,Drugs and Chemicals,Stimulants,Meth,Meth,28GR // CRYSTAL METH // EPHEDRINE SHARDS,166.72,United Kingdom,United Kingdom
xXDrugz4GermanyXx,Drugs and Chemicals,,,Drugs and Chemicals,2g ★ CRYSTAL METH ICE ★ EXTREM POTENT ★,77.12,Germany,Worldwide
EUROSHOPPER,Drugs and Chemicals,Ecstasy,MDMA,MDMA,10g PURE MEPHEDRONE 4-MMC,106.78,Germany,Europe
eurotrips,Drugs and Chemicals,Benzos,Pills,Pills,100X XANAX C10 2mg Bars - INTRO OFFER - UK-UK,48.61,United Kingdom,United Kingdom
Venture,Drugs and Chemicals,Psychedelics,2C-B,2C-B,25st 🔥 Badman 2cb pills 🔥,59.32,Netherlands,Worldwide
reflexlabs,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,10x capsul Ritalin Methylphenidate 30mg medikinet,47.46,Belgium,Europe
ONEMILLION,Drugs and Chemicals,Ecstasy,Pills,Pills,25 Pills - Dutch XTC Domino 220 MG [AAA+],88.98,Germany,Europe
theworldisyours6,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,100g Critical Bilbo 28% THC,947.96,Spain,Worldwide
GermanMasters,Drugs and Chemicals,Ecstasy,Pills,Pills,250x || XTC BLUE PUNISHER 300MG MDMA,385.59,Germany,Europe
CafeNero,Drugs and Chemicals,Opiates,Heroin,Heroin,1G Top Quality Black Tar Heroin BTH,200.00,United States,United States
ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,28g Kandy Kush ****ElizabethQueen2**** Fire,277.79,United Kingdom,United Kingdom
WeedZilla777,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,++GRAND OPENING++SALE++2G-25€++AMNESIA-HAZE++,29.66,Germany,Europe
PharmaUK,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Tramadol 50mg x 100 **UK PHARMA**,80.56,United Kingdom,Europe
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g Apple Haze AAAA++ - UK,611.14,United Kingdom,United Kingdom
MrGrumpy,Drugs and Chemicals,Benzos,Pills,Pills,Little Blue 10mg Valium x 250,118.06,United Kingdom,United Kingdom
DutchGlory,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,5  Gr Crystal Ketamine  S + 89%]Free WW-Shipping,118.64,Netherlands,Worldwide
sikdream,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Psilocybe Cubenses: Penis Envy - 28g,190.00,United States,United States
JessyBakery,Drugs and Chemicals,Opiates,Heroin,Heroin,* 14GR Afghan Heroin 91% * FREE SHIPPING WORLDWIDE,415.25,Netherlands,Worldwide
snowhite,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,56 Grams 90%+ Uncut A1 Cocaine,098.00,United States,United States
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,THC CBD DELTA 8 GUMMIES -30 ct 750mg Strawberry,59.00,United States,United States
mollymob,Drugs and Chemicals,Ecstasy,MDMA,MDMA,5 grams of Dutch MDMA - High quality Champagne,59.32,Netherlands,Worldwide
DrRelax,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Skittlez aka Zkittlez THC 19% Indica 14 gram,125.01,United Kingdom,United Kingdom
PitStopUK,Drugs and Chemicals,Ecstasy,Pills,Pills,2x Yellow Barcelona FC XTC 250MG IMPORT AAA+ - UK,20.83,United Kingdom,United Kingdom
BritishStandard,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,1000x m30 oxycodone mallinckrodt pharma JULY SALE,013.98,United Kingdom,Worldwide
El-Chapo,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,13g - EL-CHAPO'S SOCIAL COCAINE - FREE DELIVERY,972.25,United Kingdom,United Kingdom
MidnightExchange,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g AAA+ Indoor-Grown GMO Strain FREE SHIPPING,39.99,United States,United States
PianoKeyz,Drugs and Chemicals,Ecstasy,,Ecstasy,X50 PARTYPAK Blue Dolphins 100mg,175.00,United States,United States
richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycodone  Percocet 20/325mg 28 pills,420.00,,Worldwide
Medicalking007,Drugs and Chemicals,Opiates,,Opiates,Midazolam 5 vials 5mg/1ml 25 euro,29.66,Germany,Worldwide
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,B12 10ml bottle / 1000mcgs /ml  Cyanocobalamin -ST,49.00,United States,United States
kandykones,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SPECIAL OFFER - 250g Cali Import Lemon Haze - UK,152.87,United Kingdom,United Kingdom
BritishStandard,Drugs and Chemicals,Stimulants,Adderal,Adderal,6000x 30mg B974 Adderal Teva Pharma JULY SALE,000.43,United Kingdom,Worldwide
savesballstore,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,10G COCAINE PURE COLOMBIAN Fish Scale 500,500.00,United States,United States
mysteryland,Drugs and Chemicals,Stimulants,Speed,Speed,300 gram*** Amphetamine Paste*** Speed Paste 72%,311.00,Germany,Worldwide
TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,40 tab PFIZER BRAND VIAGRA 100 MG FROM IND,000.00,India,United States
SteroidWarehouse,Drugs and Chemicals,Weight Loss,,Weight Loss,Sibutramine - 50 tb/20 mg - PHD – exp. 06/2023,71.19,Netherlands,Worldwide
drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy Am-2201 Online (5 kg ),500.00,China,Worldwide
cerberusuk,Drugs and Chemicals,,,Drugs and Chemicals,Cerberus Pharma Anadrol 50mg x 50,45.00,United Kingdom,Worldwide
DroDodo,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,SUPER SAUCE 2g  **Superman OG**,50.00,United States,United States
mrfrank,Drugs and Chemicals,Opiates,,Opiates,10x SUBOXONE 8MG/2MG SUBLINGUAL STRIPS,160.00,United States,United States
Pharmacist,Drugs and Chemicals,,,Drugs and Chemicals,Cialis / Vidalista 20mg x 30 pills. Free shipping.,59.00,United States,United States
fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g northern lights #5,611.14,United Kingdom,Worldwide
WhiteLotus,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,0.5ml 1:1 THC:CBD VAPE CART,16.67,United Kingdom,United Kingdom
FrankCostello,Drugs and Chemicals,,,Drugs and Chemicals,ONTARIO 700+ CREDIT KARMA/BORROWELL REPORT CANADA,20.00,Canada,
TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,+EUROPE RETAIL+ CIALIS 35 pcs Tadarise oral jelly,69.00,Netherlands,Worldwide
TheWizzardNL,Drugs and Chemicals,Ecstasy,MDMA,MDMA,30 GRAMS HIGH QUALITY CHAMPAGNE MDMA 92%★★,228.98,Netherlands,Worldwide
strongmedicine,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Lemongrass - Quarter Pound (QP),400.00,United States,United States
KingofDrugs,Drugs and Chemicals,,,Drugs and Chemicals,Stardawg UK 3.5 gram,40.28,United Kingdom,United Kingdom
doctor_upper,Drugs and Chemicals,Stimulants,,Stimulants,Dexamphetamine / dexedrine 5 mg 30 tablets,80.08,Netherlands,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1000g - Gods Gift HQ NDD UK2UK,055.90,United Kingdom,United Kingdom
LuckyBandits,Drugs and Chemicals,Psychedelics,DMT,DMT,25 Gram DMT,778.46,Germany,Worldwide
50bucks,Drugs and Chemicals,Stimulants,Meth,Meth,0.1 grams A++ Crystal Meth (ICE),41.23,Australia,Australia
kandykones,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,14g Cali Import Purple Haze Shake/Dust - UK ONLY,83.34,United Kingdom,United Kingdom
martell,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.2G PURE BOLIVIAN 89% FISHSCALE COCAINE - FREE ND,26.00,United Kingdom,United Kingdom
AlwaysOverweight,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,14g GOLDEN TEACHER | Shrooms + Strong ★EUPHORIC★,52.17,Canada,Canada
maurelius,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,125g Super Lemon Haze Dust Shake Trim 412.5£,572.94,United Kingdom,Europe
GreyGooseGlobal,Drugs and Chemicals,Psychedelics,LSD,LSD,100x II LSD TABS FUNKY VENDETTA 250UG TABS,189.83,Germany,Europe
auspride,Drugs and Chemicals,Stimulants,Speed,Speed,Premium Import Dutch Speed 56 grams,833.33,Australia,Australia
HappyChef,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,5 x 1g  Vape Distillate Carts,125.00,United States,United States
kamagra4bitcoin,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"Vidalista 20 x 1000 pills, 100 blisters",355.92,,Europe
UKDRUGSERVICE,Drugs and Chemicals,,,Drugs and Chemicals,- 2 gram - SOCIABLE COCAINE 50-60% PURITY.,158.34,United Kingdom,Worldwide
CalzzUK,Drugs and Chemicals,Opiates,Codeine,Codeine,Codeine wth Promethazine (Lean) 100 ml UK2UK X 20,694.32,United Kingdom,United Kingdom
WeedHunter1312,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,! 2G - 25€ SUPER SILVER HAZE -HIGH THC-,29.66,Germany,Europe
Hasbro,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,2GR - KETAMINE S-ISOMER NEEDLE - HIGH QUALITY,41.53,Germany,Europe
thedopehouse,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,*$1100 Shipped**448 Grams*Blue Meanie Cubensis*,100.00,United States,United States
benisupplies,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,"Moroccan Hash Egg (soft, maleable) 5g",51.02,Spain,Worldwide
exclusivepharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,ZOLMIND Zolpidem (ambien) 10mg x 30 TABS,34.72,United Kingdom,Worldwide
TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,50 tabs tapentadol 100 mg {US-US} 155$ EXPRESS,155.00,United States,United States
pharmacy8170,Drugs and Chemicals,Benzos,,Benzos,ES zopiclone 2mg (Lunesta)   100 pills for $40,40.00,India,Worldwide
theworldisyours6,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,15g Critical Bilbo 28% THC,136.44,,Worldwide
